,d_model,n_heads,n_layers,accuracy,precision,f1,recall,spearman
9,256,4,2,0.9705882352941176,0.9747899159663864,0.9702488687782804,0.9705882352941176,0.9934153031700527
5,256,2,2,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9572845156369182
29,512,8,2,0.9705882352941176,0.9747899159663864,0.9702488687782804,0.9705882352941176,0.9934153031700527
24,512,4,1,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9705882352941176,0.9927944862155388
4,256,2,1,0.9558823529411765,0.9583333333333334,0.9565217391304347,0.9558823529411765,0.9530756238422141
7,256,2,8,0.9558823529411765,0.9583333333333334,0.9567588149084744,0.9558823529411765,0.9719341057792249
10,256,4,4,0.9558823529411765,0.9647058823529411,0.9548503611971104,0.9558823529411765,0.990585560744995
28,512,8,1,0.9558823529411765,0.9547314578005116,0.9549127343244992,0.9558823529411765,0.9718433228797674
25,512,4,2,0.9558823529411765,0.9547314578005116,0.9549127343244992,0.9558823529411765,0.9718433228797674
6,256,2,4,0.9411764705882353,0.9406658496732027,0.9386271759755795,0.9411764705882353,0.9345584138863798
8,256,4,1,0.9411764705882353,0.9466297157160736,0.9360914376899032,0.9411764705882353,0.9517362147929586
22,512,2,4,0.9411764705882353,0.950319693094629,0.9371723048193639,0.9411764705882353,0.9696392103961353
2,256,1,4,0.9411764705882353,0.9391600611875957,0.9385549872122761,0.9411764705882353,0.9512616165680597
27,512,4,8,0.9411764705882353,0.9479638009049772,0.9432932263814616,0.9411764705882353,0.9524164481619185
14,256,8,4,0.9411764705882353,0.9404906332655694,0.9391984486102134,0.9411764705882353,0.9684800834023386
15,256,8,8,0.9411764705882353,0.9391600611875957,0.9385549872122761,0.9411764705882353,0.9512616165680597
0,256,1,1,0.9411764705882353,0.9406658496732027,0.9386271759755795,0.9411764705882353,0.9345584138863798
30,512,8,4,0.9264705882352942,0.9334296218487395,0.9175002361183855,0.9264705882352942,0.9314010038019411
26,512,4,4,0.9264705882352942,0.9244698902474247,0.9218676807107283,0.9264705882352942,0.9479685331734298
16,512,1,1,0.9264705882352942,0.9257578031212486,0.921597506035863,0.9264705882352942,0.9146607389140462
18,512,1,4,0.9264705882352942,0.9244698902474247,0.9218676807107283,0.9264705882352942,0.9479685331734298
1,256,1,2,0.9264705882352942,0.9275780964559737,0.9230088796652265,0.9264705882352942,0.9654117689282459
12,256,8,1,0.9264705882352942,0.9365456821026283,0.9184281129331529,0.9264705882352942,0.9490163800849156
3,256,1,8,0.9264705882352942,0.9237132352941176,0.9213772096274843,0.9264705882352942,0.931046108633099
20,512,2,1,0.9117647058823529,0.9207683073229292,0.8976033744103207,0.9117647058823529,0.911401348660497
21,512,2,2,0.9117647058823529,0.9180672268907564,0.9061624649859943,0.9117647058823529,0.9482734773643977
13,256,8,2,0.9117647058823529,0.9207683073229292,0.8976033744103207,0.9117647058823529,0.911401348660497
23,512,2,8,0.8970588235294118,0.8938637955182074,0.8848944336163891,0.8970588235294118,0.9248402347564171
17,512,1,2,0.8970588235294118,0.9004010695187166,0.892885717267392,0.8970588235294118,0.9307245371613722
11,256,4,8,0.8970588235294118,0.8955047976637465,0.8850107818063286,0.8970588235294118,0.9073174309510844
31,512,8,8,0.8970588235294118,0.9106842737094839,0.8767417605340008,0.8970588235294118,0.9087313729778745
19,512,1,8,0.8529411764705882,0.887154861944778,0.8017417605340009,0.8529411764705882,0.9022975989618641
