,d_model,n_heads,n_layers,accuracy,precision,f1,recall,spearman
24,512,4,1,0.9264705882352942,0.9254679144385026,0.9195951107715814,0.9264705882352942,0.9929191504262008
5,256,2,2,0.9264705882352942,0.9272875816993463,0.9245823835607117,0.9264705882352942,0.9930613114699912
14,256,8,4,0.9117647058823529,0.9178921568627451,0.9100804424333837,0.9117647058823529,0.9880973574886579
6,256,2,4,0.9117647058823529,0.9154411764705882,0.9105975723622783,0.9117647058823529,0.9917104839399279
17,512,1,2,0.9117647058823529,0.9205882352941177,0.911191892487332,0.9117647058823529,0.97027317273612
9,256,4,2,0.9117647058823529,0.9178921568627451,0.9100804424333837,0.9117647058823529,0.9880973574886579
12,256,8,1,0.9117647058823529,0.9154411764705882,0.9105975723622783,0.9117647058823529,0.9917104839399279
20,512,2,1,0.8970588235294118,0.9033313325330132,0.8881563263603314,0.8970588235294118,0.9029664195124403
4,256,2,1,0.8970588235294118,0.8984289367921081,0.8927525761435797,0.8970588235294118,0.9717899789146967
0,256,1,1,0.8823529411764706,0.8848039215686274,0.8790346907993967,0.8823529411764706,0.9486697666015015
23,512,2,8,0.8823529411764706,0.8832866479925303,0.8821147892355322,0.8823529411764706,0.9509332391659813
19,512,1,8,0.8823529411764706,0.87205171923842,0.8708730897585387,0.8823529411764706,0.9709832091448376
2,256,1,4,0.8823529411764706,0.8761437908496732,0.8750257997936017,0.8823529411764706,0.9895280889044186
25,512,4,2,0.8676470588235294,0.8814877498388137,0.8577237509744656,0.8676470588235294,0.9452122584919168
27,512,4,8,0.8676470588235294,0.8582332933173271,0.8526171106740568,0.8676470588235294,0.9002749929376559
30,512,8,4,0.8676470588235294,0.8798019207683074,0.8520919005900233,0.8676470588235294,0.9011608114135002
26,512,4,4,0.8676470588235294,0.8851102941176471,0.8549832836360352,0.8676470588235294,0.9195359801470304
16,512,1,1,0.8676470588235294,0.863384484228474,0.8546541693600517,0.8676470588235294,0.9301598179925681
1,256,1,2,0.8676470588235294,0.8744284274974812,0.8559919895560034,0.8676470588235294,0.9635559563325594
15,256,8,8,0.8676470588235294,0.8821691176470589,0.8561037318153067,0.8676470588235294,0.9164924184933794
13,256,8,2,0.8676470588235294,0.8638513376365038,0.8592638978668391,0.8676470588235294,0.9317426080726273
11,256,4,8,0.8529411764705882,0.8763705482192877,0.8310026956772889,0.8529411764705882,0.8928018668171191
7,256,2,8,0.8529411764705882,0.8718750000000001,0.8381388535563109,0.8529411764705882,0.9158383714176871
28,512,8,1,0.8529411764705882,0.8541927409261577,0.8405157715260018,0.8529411764705882,0.9511826078146474
29,512,8,2,0.8529411764705882,0.8724489795918368,0.8320100216846148,0.8529411764705882,0.9004854323336919
21,512,2,2,0.8382352941176471,0.8495098039215686,0.8123925008599933,0.8382352941176471,0.873930516950498
10,256,4,4,0.8382352941176471,0.8866185897435898,0.8137920703085988,0.8382352941176471,0.9095409346162897
8,256,4,1,0.8382352941176471,0.8724489795918368,0.8166110415797525,0.8382352941176471,0.8897572455245383
31,512,8,8,0.8382352941176471,0.8602941176470589,0.8064868052484153,0.8382352941176471,0.881763176807018
3,256,1,8,0.8235294117647058,0.8690553144334657,0.7934987264782734,0.8235294117647058,0.8904234978152473
18,512,1,4,0.8088235294117647,0.8020795274631594,0.7913209627742499,0.8088235294117647,0.8763531079144887
22,512,2,4,0.7941176470588235,0.7979271165830673,0.7866239797354349,0.7941176470588235,0.9154610368746353
