,d_model,n_heads,n_layers,uRMSE,RMSE,uMSE,R2,r,rho
26,512,4,4,0.2239233,1.1235652068199162,0.05014164,0.9424485171637675,0.9720900959757862,0.8902440188596665
14,256,8,4,0.22842076,1.1461318588368994,0.052176047,0.9401134726180274,0.972882984261139,0.9210493668527094
21,512,2,2,0.22882952,1.148182835682297,0.052362945,0.9398989516352634,0.9698761708157922,0.8954736752104061
11,256,4,8,0.23248473,1.1665233434015,0.05404915,0.9379635637284178,0.9716921776694423,0.8963325603774984
15,256,8,8,0.23444471,1.176357803918026,0.054964323,0.9369131464922682,0.9731320949784772,0.9210302805156628
17,512,1,2,0.2359541,1.1839314121925217,0.05567434,0.9360982053189092,0.9692049569466457,0.8802046055732101
30,512,8,4,0.23648486,1.1865945193807164,0.05592509,0.9358104008200135,0.9678651888906264,0.8947483944026394
23,512,2,8,0.23879506,1.1981862657707933,0.057023082,0.9345501499919574,0.9696120310253371,0.9024020155582837
24,512,4,1,0.24276285,1.2180951939371514,0.0589338,0.9323570761724224,0.9661268202698041,0.8968478914777538
2,256,1,4,0.24550812,1.2318699584802328,0.060274236,0.9308185443801671,0.9704930791131119,0.8927634153498037
6,256,2,4,0.24871962,1.2479840822715662,0.06186145,0.9289967759378037,0.9666946685901767,0.9024211018953303
13,256,8,2,0.25183457,1.263613780450223,0.06342065,0.9272071532516032,0.9642673803012028,0.8810444044032557
28,512,8,1,0.25347093,1.2718244170037747,0.06424751,0.9262581075993713,0.9625512463315329,0.8761583021193532
18,512,1,4,0.25481158,1.2785513459083138,0.06492894,0.925475988466605,0.9667908627958033,0.8993100289567515
1,256,1,2,0.25835857,1.296348809450195,0.06674915,0.9233867814716644,0.9624778645031309,0.9107618311846486
10,256,4,4,0.2601152,1.3051629779601484,0.06765992,0.9223414146929221,0.9634621810759432,0.9122887381483681
25,512,4,2,0.26177981,1.3135153757363631,0.06852867,0.9213442953110985,0.9626547538567838,0.897744949318939
4,256,2,1,0.26251698,1.3172141772580654,0.06891516,0.9209006863559787,0.9614587662624827,0.872684588776891
7,256,2,8,0.2631859,1.3205705386954862,0.06926681,0.9204970715102412,0.9742420429282785,0.9063910600010012
3,256,1,8,0.2654326,1.3318436961774578,0.070454456,0.9191339153699576,0.9615458375441579,0.9093303559061614
27,512,4,8,0.26607648,1.335074446404924,0.07079668,0.9187411107949892,0.9675697560525247,0.9246757708915434
5,256,2,2,0.26638573,1.3366261934593289,0.07096136,0.9185521024144647,0.965409666995809,0.8902631051967129
12,256,8,1,0.2692882,1.351189766493495,0.07251614,0.916767553072728,0.9578437902737739,0.8836210599045328
29,512,8,2,0.2699878,1.3547000016631103,0.0728934,0.9163345488063126,0.9584075445453434,0.890644831937643
9,256,4,2,0.27209067,1.3652514928364612,0.07403334,0.915026143021357,0.9695284727206394,0.9063147146528152
0,256,1,1,0.27383342,1.3739959770323205,0.07498474,0.9139341566491228,0.9567008651408812,0.8915991487899677
16,512,1,1,0.27403867,1.3750258394167945,0.07509719,0.9138050839737712,0.9560526056182916,0.8278698693917208
22,512,2,4,0.2751304,1.3805036844680576,0.07569673,0.9131169336638851,0.9632080167936294,0.8847853264643689
19,512,1,8,0.27571586,1.3834413418722962,0.076019235,0.9127467868308666,0.9670999421720932,0.8708332140833811
20,512,2,1,0.27631298,1.3864374683040255,0.07634886,0.9123684377668352,0.9568245769472189,0.885835075001926
31,512,8,8,0.28209308,1.4154399003853313,0.0795765,0.9086638335023399,0.9622884398875027,0.9021157205025863
8,256,4,1,0.29052597,1.4577530832186598,0.08440534,0.903121402003732,0.9559546435347439,0.8561749072316729
